"","mean","sd"
"tBodyAcc-mean()-X",0.274347260646063,0.0676277962784943
"tBodyAcc-mean()-Y",-0.0177434918458972,0.0371281663827435
"tBodyAcc-mean()-Z",-0.108925032737064,0.0530330859935597
"tBodyAcc-std()-X",-0.607783818968688,0.438693831339194
"tBodyAcc-std()-Y",-0.510191378479501,0.500239766883052
"tBodyAcc-std()-Z",-0.61306429934125,0.403656584651858
"tBodyAcc-mad()-X",-0.633592610907429,0.413333018338302
"tBodyAcc-mad()-Y",-0.525696539001884,0.484200647735623
"tBodyAcc-mad()-Z",-0.61498890978365,0.399034058245509
"tBodyAcc-max()-X",-0.466732370523269,0.538706787937137
"tBodyAcc-max()-Y",-0.305180462546411,0.279920275645106
"tBodyAcc-max()-Z",-0.562229619850407,0.282990528345684
"tBodyAcc-min()-X",0.525304172511095,0.35658895383491
"tBodyAcc-min()-Y",0.389536587321513,0.338844070101853
"tBodyAcc-min()-Z",0.598021923353949,0.290614654527968
"tBodyAcc-sma()",-0.552087115648893,0.461374610489333
"tBodyAcc-energy()-X",-0.825459670396252,0.247051818372546
"tBodyAcc-energy()-Y",-0.902704282327838,0.125987849568003
"tBodyAcc-energy()-Z",-0.854661759222973,0.205997502274485
"tBodyAcc-iqr()-X",-0.689161821371472,0.359208955275679
"tBodyAcc-iqr()-Y",-0.643511768623583,0.368864626867882
"tBodyAcc-iqr()-Z",-0.640685815482928,0.372065441972237
"tBodyAcc-entropy()-X",-0.100331848808134,0.462315492015796
"tBodyAcc-entropy()-Y",-0.128765122937701,0.433687257153052
"tBodyAcc-entropy()-Z",-0.157863394141636,0.368101697846064
"tBodyAcc-arCoeff()-X,1",-0.118954333677729,0.30772148256937
"tBodyAcc-arCoeff()-X,2",0.108573706261895,0.247139818354679
"tBodyAcc-arCoeff()-X,3",-0.0356994169213299,0.24782017417328
"tBodyAcc-arCoeff()-X,4",0.122000192842546,0.232044067142965
"tBodyAcc-arCoeff()-Y,1",-0.029676503537188,0.254461172108767
"tBodyAcc-arCoeff()-Y,2",0.0317237742172389,0.213707644491184
"tBodyAcc-arCoeff()-Y,3",0.155147508424199,0.208718482461815
"tBodyAcc-arCoeff()-Y,4",-0.0180767920878722,0.22025683499872
"tBodyAcc-arCoeff()-Z,1",0.00611033964754394,0.281721843867417
"tBodyAcc-arCoeff()-Z,2",0.0377291540841395,0.215456028850331
"tBodyAcc-arCoeff()-Z,3",0.034423733821314,0.236854255066669
"tBodyAcc-arCoeff()-Z,4",-0.0826692044542652,0.230957461626828
"tBodyAcc-correlation()-X,Y",-0.120308569497857,0.357676934489248
"tBodyAcc-correlation()-X,Z",-0.19774621582879,0.325103253809755
"tBodyAcc-correlation()-Y,Z",0.102198864072034,0.376048745505092
"tGravityAcc-mean()-X",0.669226222373046,0.515485780308741
"tGravityAcc-mean()-Y",0.00403879092060517,0.378909215421356
"tGravityAcc-mean()-Z",0.0921508600211059,0.334270168704641
"tGravityAcc-std()-X",-0.965207115039421,0.0777147960480108
"tGravityAcc-std()-Y",-0.95440802665318,0.0852866205384834
"tGravityAcc-std()-Z",-0.938900969424022,0.101554847657515
"tGravityAcc-mad()-X",-0.966017547593359,0.0761984074973394
"tGravityAcc-mad()-Y",-0.955361184463938,0.0842337759905093
"tGravityAcc-mad()-Z",-0.940206277312749,0.100521377576158
"tGravityAcc-max()-X",0.609058202575891,0.509003275335256
"tGravityAcc-max()-Y",-0.0103216842233446,0.366683488644674
"tGravityAcc-max()-Z",0.0967393305199664,0.329611069144372
"tGravityAcc-min()-X",0.683762046463103,0.507051553876899
"tGravityAcc-min()-Y",0.0166078634418512,0.376404366728383
"tGravityAcc-min()-Z",0.0793492718974707,0.336731410192899
"tGravityAcc-sma()",-0.0985870819600584,0.39194457685093
"tGravityAcc-energy()-X",0.446206727733547,0.696454611374246
"tGravityAcc-energy()-Y",-0.721469908539694,0.454408668282572
"tGravityAcc-energy()-Z",-0.763609232749742,0.424081696116968
"tGravityAcc-iqr()-X",-0.968239871201476,0.0717859944176486
"tGravityAcc-iqr()-Y",-0.958592816013108,0.0806892568819021
"tGravityAcc-iqr()-Z",-0.944775940840858,0.0960495894031246
"tGravityAcc-entropy()-X",-0.674768951348029,0.361048291089865
"tGravityAcc-entropy()-Y",-0.866704392505228,0.281431008934707
"tGravityAcc-entropy()-Z",-0.669100243301527,0.393154812472846
"tGravityAcc-arCoeff()-X,1",-0.504401651936594,0.216469557472953
"tGravityAcc-arCoeff()-X,2",0.542886549905516,0.20979116415504
"tGravityAcc-arCoeff()-X,3",-0.580674458607939,0.207895539861647
"tGravityAcc-arCoeff()-X,4",0.617818193775729,0.210734591739111
"tGravityAcc-arCoeff()-Y,1",-0.343618301448707,0.293287453345593
"tGravityAcc-arCoeff()-Y,2",0.330183502639498,0.299026168408569
"tGravityAcc-arCoeff()-Y,3",-0.360744984572308,0.291191538146509
"tGravityAcc-arCoeff()-Y,4",0.408875435293201,0.282566749250549
"tGravityAcc-arCoeff()-Z,1",-0.428082912307475,0.268260437215381
"tGravityAcc-arCoeff()-Z,2",0.453367251514286,0.259414267706556
"tGravityAcc-arCoeff()-Z,3",-0.478049652346497,0.25337848973178
"tGravityAcc-arCoeff()-Z,4",0.499489809797114,0.249913454913049
"tGravityAcc-correlation()-X,Y",0.17568274446598,0.696326676277864
"tGravityAcc-correlation()-X,Z",-0.108287775463795,0.703940669950718
"tGravityAcc-correlation()-Y,Z",0.0848488415988038,0.701159247972398
"tBodyAccJerk-mean()-X",0.0789381220355816,0.176112457141583
"tBodyAccJerk-mean()-Y",0.0079481069090025,0.164518387624882
"tBodyAccJerk-mean()-Z",-0.00467469823628666,0.155978985687957
"tBodyAccJerk-std()-X",-0.63978102073413,0.408711816447501
"tBodyAccJerk-std()-Y",-0.607971599340832,0.43288446111401
"tBodyAccJerk-std()-Z",-0.762820240449202,0.277901388841564
"tBodyAccJerk-mad()-X",-0.636851832334041,0.413603899753198
"tBodyAccJerk-mad()-Y",-0.594046436674004,0.446134739812249
"tBodyAccJerk-mad()-Z",-0.756511705504896,0.283632230305184
"tBodyAccJerk-max()-X",-0.699625727365398,0.359868403041266
"tBodyAccJerk-max()-Y",-0.747833595469583,0.293669344905603
"tBodyAccJerk-max()-Z",-0.818722317836936,0.223993152704084
"tBodyAccJerk-min()-X",0.616034393890846,0.435520561878772
"tBodyAccJerk-min()-Y",0.684870159457075,0.359038828916912
"tBodyAccJerk-min()-Z",0.739588241708783,0.306461594197294
