"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180"
"act","WALKING","WALKING","WALKING","WALKING","WALKING","WALKING","WALKING","WALKING","WALKING","WALKING","WALKING","WALKING","WALKING","WALKING","WALKING","WALKING","WALKING","WALKING","WALKING","WALKING","WALKING","WALKING","WALKING","WALKING","WALKING","WALKING","WALKING","WALKING","WALKING","WALKING","WALKING_UPSTAIRS","WALKING_UPSTAIRS","WALKING_UPSTAIRS","WALKING_UPSTAIRS","WALKING_UPSTAIRS","WALKING_UPSTAIRS","WALKING_UPSTAIRS","WALKING_UPSTAIRS","WALKING_UPSTAIRS","WALKING_UPSTAIRS","WALKING_UPSTAIRS","WALKING_UPSTAIRS","WALKING_UPSTAIRS","WALKING_UPSTAIRS","WALKING_UPSTAIRS","WALKING_UPSTAIRS","WALKING_UPSTAIRS","WALKING_UPSTAIRS","WALKING_UPSTAIRS","WALKING_UPSTAIRS","WALKING_UPSTAIRS","WALKING_UPSTAIRS","WALKING_UPSTAIRS","WALKING_UPSTAIRS","WALKING_UPSTAIRS","WALKING_UPSTAIRS","WALKING_UPSTAIRS","WALKING_UPSTAIRS","WALKING_UPSTAIRS","WALKING_UPSTAIRS","WALKING_DOWNSTAIRS","WALKING_DOWNSTAIRS","WALKING_DOWNSTAIRS","WALKING_DOWNSTAIRS","WALKING_DOWNSTAIRS","WALKING_DOWNSTAIRS","WALKING_DOWNSTAIRS","WALKING_DOWNSTAIRS","WALKING_DOWNSTAIRS","WALKING_DOWNSTAIRS","WALKING_DOWNSTAIRS","WALKING_DOWNSTAIRS","WALKING_DOWNSTAIRS","WALKING_DOWNSTAIRS","WALKING_DOWNSTAIRS","WALKING_DOWNSTAIRS","WALKING_DOWNSTAIRS","WALKING_DOWNSTAIRS","WALKING_DOWNSTAIRS","WALKING_DOWNSTAIRS","WALKING_DOWNSTAIRS","WALKING_DOWNSTAIRS","WALKING_DOWNSTAIRS","WALKING_DOWNSTAIRS","WALKING_DOWNSTAIRS","WALKING_DOWNSTAIRS","WALKING_DOWNSTAIRS","WALKING_DOWNSTAIRS","WALKING_DOWNSTAIRS","WALKING_DOWNSTAIRS","SITTING","SITTING","SITTING","SITTING","SITTING","SITTING","SITTING","SITTING","SITTING","SITTING","SITTING","SITTING","SITTING","SITTING","SITTING","SITTING","SITTING","SITTING","SITTING","SITTING","SITTING","SITTING","SITTING","SITTING","SITTING","SITTING","SITTING","SITTING","SITTING","SITTING","STANDING","STANDING","STANDING","STANDING","STANDING","STANDING","STANDING","STANDING","STANDING","STANDING","STANDING","STANDING","STANDING","STANDING","STANDING","STANDING","STANDING","STANDING","STANDING","STANDING","STANDING","STANDING","STANDING","STANDING","STANDING","STANDING","STANDING","STANDING","STANDING","STANDING","LAYING","LAYING","LAYING","LAYING","LAYING","LAYING","LAYING","LAYING","LAYING","LAYING","LAYING","LAYING","LAYING","LAYING","LAYING","LAYING","LAYING","LAYING","LAYING","LAYING","LAYING","LAYING","LAYING","LAYING","LAYING","LAYING","LAYING","LAYING","LAYING","LAYING"
"sub","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30"
"tBodyAcc-mean()-X","0.2773308","0.2764266","0.2755675","0.2785820","0.2778423","0.2836589","0.2755930","0.2746863","0.2785028","0.2785741","0.2718219","0.2771287","0.2758831","0.2719596","0.2738992","0.2760236","0.2723419","0.2738878","0.2739312","0.2725893","0.2791835","0.2788646","0.2732119","0.2769808","0.2789928","0.2792644","0.2768495","0.2812282","0.2719999","0.2764068","0.2554617","0.2471648","0.2608199","0.2708767","0.2684595","0.2682294","0.2487069","0.2588802","0.2624365","0.2671219","0.2637759","0.2729703","0.2582039","0.2624211","0.2701876","0.2559861","0.2526048","0.2654012","0.2421188","0.2520983","0.2651945","0.2483915","0.2499952","0.2698811","0.2779954","0.2726914","0.2657703","0.2620058","0.2654231","0.2714156","0.2891883","0.2776153","0.2924235","0.2799653","0.2935439","0.2770453","0.2803071","0.2834841","0.2959234","0.2904016","0.2916056","0.2815211","0.2949076","0.2934221","0.2801989","0.2955868","0.2939183","0.2884395","0.2626881","0.2961444","0.3014610","0.2844590","0.2898974","0.2886312","0.2913297","0.2792846","0.2975442","0.2936421","0.2931404","0.2831906","0.2612376","0.2770874","0.2571976","0.2715383","0.2736941","0.2767785","0.2846746","0.2674915","0.2483267","0.2706121","0.2765902","0.2750072","0.2743285","0.2799906","0.2729034","0.2807686","0.2773570","0.2772700","0.2738303","0.2780454","0.2775396","0.2735838","0.2733513","0.2734757","0.2785415","0.2582435","0.2739413","0.2769776","0.2771800","0.2683361","0.2789176","0.2779115","0.2800465","0.2804997","0.2825444","0.2803462","0.2827235","0.2796210","0.2823101","0.2766503","0.2777156","0.2774058","0.2777584","0.2805456","0.2789158","0.2834974","0.2779425","0.2784588","0.2781723","0.2780769","0.2769522","0.2790539","0.2778993","0.2803489","0.2780137","0.2811270","0.2795669","0.2777951","0.2779651","0.2771127","0.2215982","0.2813734","0.2755169","0.2635592","0.2783343","0.2486565","0.2501767","0.2612543","0.2591955","0.2802306","0.2805930","0.2601134","0.2767164","0.2332754","0.2894757","0.2742272","0.2697801","0.2746916","0.2726537","0.2395079","0.2713255","0.2799597","0.2740380","0.2728505","0.2507918","0.2716459","0.2741025","0.2759135","0.2872952","0.2810339"
"tBodyAcc-mean()-Y","-0.017383819","-0.018594920","-0.017176784","-0.014839948","-0.017285032","-0.016895419","-0.018653665","-0.018662887","-0.018089197","-0.017022351","-0.016647583","-0.015560928","-0.018566065","-0.021778538","-0.017080974","-0.020428693","-0.018487540","-0.017802363","-0.019177359","-0.021199992","-0.018161032","-0.016721361","-0.018361871","-0.022544640","-0.018647762","-0.015425959","-0.016647878","-0.015675972","-0.016291560","-0.017588039","-0.023953149","-0.021412113","-0.032410941","-0.031980430","-0.032526976","-0.027242539","-0.027563901","-0.028241514","-0.019510110","-0.014385492","-0.030315782","-0.026357490","-0.027739225","-0.020438818","-0.028752386","-0.014365495","-0.022864561","-0.022206068","-0.030398662","-0.028225805","-0.023721870","-0.026862256","-0.032384403","-0.025197943","-0.026986352","-0.028163380","-0.020095332","-0.027944394","-0.029946531","-0.025331170","-0.009918505","-0.022661416","-0.019355408","-0.009802009","-0.008501075","-0.019536840","-0.016633237","-0.021105867","-0.020399427","-0.020005077","-0.017809772","-0.018084267","-0.014372384","-0.020014141","-0.005630478","-0.018389858","-0.016735940","-0.016866692","-0.014594228","-0.009641208","-0.017319539","-0.019799937","-0.016211146","-0.014573035","-0.021017052","-0.012625810","-0.013556447","-0.022023047","-0.014941215","-0.017438390","-0.001308288","-0.015687994","-0.003502998","-0.007163065","-0.009900835","-0.014591162","-0.014610976","-0.006725506","-0.027016777","-0.015042682","-0.014919562","-0.015789299","-0.005877329","-0.008705655","-0.011718847","-0.010249794","-0.014156274","-0.012869128","-0.016739260","-0.014722931","-0.014400971","-0.012346845","-0.013394502","-0.013125510","-0.014769681","-0.007133645","-0.015526980","-0.018540444","-0.016630680","-0.008047313","-0.016137590","-0.018420827","-0.014337656","-0.009489111","-0.007004186","-0.018123633","-0.014574034","-0.014811307","-0.020045495","-0.015541860","-0.017199089","-0.016900254","-0.016789199","-0.015207813","-0.018351636","-0.016599967","-0.017412006","-0.016635352","-0.015424406","-0.018069505","-0.016708473","-0.015856321","-0.017747555","-0.014478534","-0.016356973","-0.016660831","-0.016593236","-0.017263512","-0.017260587","-0.017016389","-0.040513953","-0.018158740","-0.018955679","-0.015003184","-0.018304212","-0.010252917","-0.020441152","-0.021228173","-0.020526822","-0.024294484","-0.017659805","-0.017520392","-0.020440454","-0.011342465","-0.016629654","-0.016610351","-0.016846201","-0.017393768","-0.017142686","-0.014440628","-0.018423305","-0.014262986","-0.021655384","-0.017355521","-0.018894366","-0.019189573","-0.017986761","-0.016753786","-0.017196548","-0.019449410"
"tBodyAcc-mean()-Z","-0.11114810","-0.10550036","-0.11267486","-0.11140306","-0.10774178","-0.11030317","-0.11091223","-0.10725209","-0.11082051","-0.10905751","-0.10609630","-0.10316111","-0.11143146","-0.10675637","-0.10762182","-0.10880405","-0.10979212","-0.10421832","-0.12273667","-0.11353948","-0.10431933","-0.10711251","-0.11338299","-0.11059595","-0.10873764","-0.10892701","-0.11282229","-0.10371471","-0.10663243","-0.09862471","-0.09730200","-0.15251390","-0.11006486","-0.11421946","-0.10747145","-0.12208244","-0.14376969","-0.11512212","-0.12521900","-0.11818042","-0.10679722","-0.10733973","-0.12576727","-0.11227969","-0.11695246","-0.12407452","-0.12129044","-0.11265589","-0.15105461","-0.12102395","-0.12541427","-0.11755086","-0.12689062","-0.11424861","-0.12621044","-0.12194346","-0.12353044","-0.12151403","-0.11800059","-0.12469749","-0.10756619","-0.11681294","-0.11613984","-0.10677752","-0.10031993","-0.10720936","-0.09693831","-0.10759814","-0.09102788","-0.11084860","-0.11107015","-0.10955593","-0.10199394","-0.09283302","-0.11052607","-0.11987371","-0.08924327","-0.10339081","-0.13369524","-0.10460293","-0.09816866","-0.10741578","-0.09881237","-0.10481882","-0.10719238","-0.10643962","-0.11283769","-0.10858897","-0.09813400","-0.09997814","-0.10454418","-0.10921827","-0.09835792","-0.10587460","-0.10854030","-0.11012773","-0.12246460","-0.10446105","-0.07537847","-0.10425324","-0.11284022","-0.10630723","-0.09724651","-0.10040149","-0.11366125","-0.08914040","-0.11362409","-0.11190478","-0.10870765","-0.10836963","-0.11205789","-0.10582737","-0.10380868","-0.10304106","-0.10916044","-0.09744487","-0.10552191","-0.11151794","-0.11041182","-0.09951545","-0.11060182","-0.10590854","-0.10162172","-0.09615749","-0.10217110","-0.11217283","-0.09977783","-0.10611500","-0.09527475","-0.10796408","-0.10868663","-0.10552700","-0.11212414","-0.10381770","-0.10591083","-0.10365773","-0.11143215","-0.10845336","-0.10904190","-0.10040276","-0.11041786","-0.10496742","-0.11059702","-0.10822255","-0.10735296","-0.11023780","-0.10783582","-0.10657939","-0.10865907","-0.10875621","-0.11320355","-0.10724561","-0.10130048","-0.11068815","-0.10793760","-0.13311957","-0.10136104","-0.10224537","-0.10754972","-0.11716864","-0.10878658","-0.10816013","-0.10433186","-0.08683333","-0.11853024","-0.10731049","-0.10700628","-0.10769893","-0.10898146","-0.10427432","-0.10325383","-0.11080092","-0.10425678","-0.10723624","-0.10042883","-0.10500254","-0.10769973","-0.10834485","-0.10946207","-0.10365815"
"tBodyAcc-std()-X","-0.283740259","-0.423642838","-0.360356726","-0.440829971","-0.294098534","-0.296538717","-0.327243241","-0.173605736","-0.238353563","-0.178709734","-0.422842072","-0.128898533","-0.346980394","-0.402639098","-0.327961801","-0.404692524","-0.319500173","-0.376005521","-0.048904941","-0.208342792","-0.297814844","-0.008659219","-0.313521773","-0.470762366","-0.596007444","-0.340185528","-0.348475561","-0.293003522","-0.174337940","-0.346394275","-0.354708025","-0.304376406","-0.313123438","-0.204933043","-0.045723778","-0.050135019","-0.294872974","-0.171712175","-0.361444378","-0.161591924","-0.238802959","-0.290149192","-0.296284597","-0.309396718","-0.026097184","-0.397083832","-0.062952754","-0.380168287","-0.128742095","-0.116088676","-0.240808282"," 0.083573864","-0.243887819","-0.344399351","-0.459775646","-0.169006952","-0.295439547","-0.242062430","-0.086771557","-0.350504475"," 0.030035338"," 0.046366681","-0.057410048"," 0.011193550"," 0.275046110"," 0.383681640"," 0.066081560"," 0.024139347"," 0.213392271"," 0.295733548"," 0.142456557"," 0.042408492","-0.068156363"," 0.017831340"," 0.406471051"," 0.207251998"," 0.187719760","-0.302634565"," 0.626917071"," 0.074509879"," 0.224343492"," 0.348618168"," 0.044139284","-0.082732481","-0.253756934"," 0.173953850"," 0.167407531"," 0.125712888"," 0.167383602","-0.057770316","-0.977229008","-0.986822280","-0.971010121","-0.980309931","-0.980945022","-0.980164934","-0.972668375","-0.979026152","-0.957227791","-0.982901826","-0.982796562","-0.982568782","-0.989546275","-0.976302248","-0.987084356","-0.986825605","-0.994443905","-0.994347989","-0.976357663","-0.983081859","-0.991777287","-0.978466824","-0.987607637","-0.990593767","-0.991892829","-0.979768988","-0.988580108","-0.983272807","-0.990745020","-0.983622744","-0.995759902","-0.987271889","-0.966742543","-0.976920580","-0.968591816","-0.981758160","-0.979307570","-0.988815418","-0.975741252","-0.978403482","-0.994978879","-0.981243992","-0.991020759","-0.973268905","-0.988949247","-0.989076812","-0.991163920","-0.992019763","-0.989910997","-0.967209961","-0.981419961","-0.985000527","-0.985421520","-0.987255871","-0.991970127","-0.993069369","-0.991951584","-0.977748639","-0.996068635","-0.977559427","-0.928056469","-0.974059465","-0.982776639","-0.954193739","-0.965934510","-0.934049422","-0.936513610","-0.943041215","-0.942333090","-0.968283685","-0.984777330","-0.955318680","-0.968891989","-0.917501887","-0.972255552","-0.973691429","-0.972960567","-0.984527649","-0.965019580","-0.962249115","-0.955019866","-0.947735252","-0.956756363","-0.967984021","-0.909116474","-0.969445445","-0.978455153","-0.968888295","-0.984219556","-0.976362515"
"tBodyAcc-std()-Y"," 0.114461337","-0.078091253","-0.069914065","-0.078826737"," 0.076748403"," 0.164213885","-0.077261856"," 0.380782053","-0.201696961","-0.022743165","-0.052212075","-0.122783290"," 0.141866689","-0.053612669"," 0.138912924","-0.314569762","-0.017579789","-0.227005875"," 0.181801561"," 0.489771809"," 0.054088051"," 0.100384246","-0.119020587","-0.154127498","-0.161852412","-0.136351392","-0.187301215","-0.117886186","-0.091754061","-0.173550022","-0.002320265"," 0.108027280"," 0.011628081","-0.066689911"," 0.185022459"," 0.189276117","-0.326160023"," 0.348768733","-0.302206204","-0.005552877","-0.103167502","-0.103818260"," 0.104470774"," 0.307195533","-0.004065360","-0.163732745","-0.013172101","-0.211155120"," 0.176349923"," 0.152196328"," 0.109787469"," 0.250067524"," 0.044843579","-0.116804489","-0.223086809","-0.049172630","-0.095010408","-0.146753877","-0.122128288","-0.127311158","-0.031935943"," 0.262881789","-0.033150372","-0.218598325"," 0.090763076"," 0.360164959","-0.138179073"," 0.343826273","-0.208310706"," 0.004079154"," 0.070812273"," 0.110835344","-0.032125247"," 0.378870492"," 0.186532377","-0.146993838","-0.060789204","-0.254214046"," 0.514816446"," 0.616937015"," 0.301336400"," 0.239812251"," 0.108259034","-0.102607327","-0.140540604","-0.011629910","-0.097971003"," 0.156496647","-0.122463467","-0.027262808","-0.922618642","-0.950704499","-0.856617812","-0.890223981","-0.904335121","-0.923682131","-0.909454699","-0.927331997","-0.875141405","-0.917979530","-0.921402118","-0.928581240","-0.938967742","-0.914935704","-0.922407163","-0.951607872","-0.961858630","-0.974928131","-0.950388944","-0.936122705","-0.966877561","-0.928059134","-0.934933559","-0.956255962","-0.947457617","-0.940798966","-0.971579126","-0.939905245","-0.963222498","-0.937857001","-0.973190056","-0.957304989","-0.893449307","-0.861597379","-0.869439913","-0.921493192","-0.923400922","-0.938479429","-0.938635759","-0.919561843","-0.964173332","-0.923140254","-0.949422439","-0.928525725","-0.931900148","-0.960298268","-0.968176664","-0.954223436","-0.944430271","-0.875410411","-0.943601625","-0.922693288","-0.958444492","-0.936871974","-0.954569226","-0.949466155","-0.955171419","-0.875689217","-0.969295721","-0.891654527","-0.836827406","-0.980277399","-0.962057545","-0.941714042","-0.969295613","-0.924644826","-0.926262669","-0.934891160","-0.916292776","-0.946454302","-0.972196874","-0.949072009","-0.950947950","-0.909697041","-0.962759422","-0.943061150","-0.944792875","-0.986160921","-0.973449969","-0.964098180","-0.956959422","-0.913276302","-0.976309827","-0.983126462","-0.691770681","-0.983231352","-0.983736044","-0.945386780","-0.990240947","-0.954201824"
"tBodyAcc-std()-Z","-0.26002790","-0.42525752","-0.38741199","-0.58625281","-0.45702144","-0.50432421"," 0.15963128","-0.14208853","-0.05796365","-0.39564507","-0.53062631","-0.41060606","-0.22050354"," 0.05188410","-0.51893263","-0.15979979","-0.26582449","-0.42834806","-0.13947794","-0.22873422","-0.16868873","-0.21335197"," 0.16422069","-0.28884002","-0.43713340","-0.33348650","-0.29731827","-0.30092840","-0.24282804","-0.12047678","-0.01947924","-0.11212102","-0.36975460","-0.37213778","-0.30893898","-0.35351951","-0.14566503"," 0.12118728","-0.25343408","-0.07387449","-0.20336940","-0.43669743","-0.21721057"," 0.60901788","-0.37971749","-0.12928383","-0.23022095","-0.31437339","-0.19046855","-0.22924946","-0.21970793","-0.10961322"," 0.10080119","-0.25560101","-0.29652398","-0.40459694","-0.23070788","-0.28598691"," 0.09954435"," 0.02494680","-0.23043421","-0.10283791","-0.36224025","-0.47918598","-0.32589144","-0.32020423","-0.06364024"," 0.13371704","-0.00771530","-0.18355756","-0.32402694","-0.42501741","-0.15833315"," 0.45157608","-0.28198218"," 0.01143539","-0.23106416","-0.41861013"," 0.04932245","-0.16093854","-0.07178936","-0.32572272"," 0.22989874","-0.20556638","-0.45797238","-0.28480768","-0.24004078","-0.34103181","-0.22317800","-0.21727569","-0.93958629","-0.95982817","-0.87511018","-0.93220301","-0.92609474","-0.92579710","-0.85653294","-0.93955303","-0.83200187","-0.96782698","-0.96837018","-0.93966189","-0.93864122","-0.92277484","-0.94933803","-0.93967225","-0.96572920","-0.97757272","-0.95192962","-0.92910640","-0.95956786","-0.91756485","-0.90558439","-0.95705611","-0.96513955","-0.95000441","-0.96585874","-0.93666725","-0.96806388","-0.95065404","-0.97977588","-0.94974185","-0.91141902","-0.89688054","-0.86932732","-0.92569237","-0.91706417","-0.92606526","-0.91929581","-0.94127144","-0.98638271","-0.92068480","-0.96753803","-0.92227631","-0.95167026","-0.95346896","-0.97046268","-0.96187391","-0.95259965","-0.91314248","-0.94612341","-0.94220166","-0.92940975","-0.93028353","-0.96464269","-0.96298840","-0.96240844","-0.90512382","-0.98020749","-0.91285060","-0.82606140","-0.98423330","-0.96369103","-0.96266731","-0.96856252","-0.92521610","-0.95297837","-0.93249145","-0.94070729","-0.95947149","-0.97131118","-0.94833384","-0.95039300","-0.90033192","-0.92958684","-0.96549028","-0.95347670","-0.98765866","-0.98467284","-0.97257200","-0.94565379","-0.94294581","-0.97322350","-0.97356696","-0.71726200","-0.98450001","-0.98663700","-0.95645034","-0.98725515","-0.96704424"
"tBodyAcc-mad()-X","-0.34069902","-0.46098307","-0.40907519","-0.46324081","-0.32421142","-0.36491355","-0.33813810","-0.20725910","-0.27401983","-0.24733006","-0.45644063","-0.17486906","-0.39201150","-0.44184280","-0.37701948","-0.40521190","-0.34276881","-0.41587552","-0.12774585","-0.25077144","-0.33863256","-0.01297693","-0.34237005","-0.48185397","-0.62072576","-0.37970416","-0.39162695","-0.32196130","-0.20396450","-0.40587293","-0.40283278","-0.36110681","-0.35901892","-0.30820304","-0.11697067","-0.11620827","-0.33743157","-0.21610076","-0.40215441","-0.21511911","-0.29361054","-0.34233298","-0.34100144","-0.35935479","-0.11388399","-0.43910719","-0.13029141","-0.43547666","-0.17337249","-0.17858954","-0.27614973"," 0.06317615","-0.30124746","-0.41122229","-0.51902512","-0.28650482","-0.33089222","-0.30461364","-0.18454395","-0.42123796","-0.04411722","-0.06271276","-0.14046046","-0.04171990"," 0.20251292"," 0.31158438","-0.03037898","-0.06638496"," 0.11833501"," 0.23811734"," 0.09796380","-0.04205320","-0.12883521","-0.10284791"," 0.34573793"," 0.16541017"," 0.13896990","-0.37497580"," 0.60917679"," 0.01392351"," 0.17022668"," 0.32602248","-0.07412860","-0.14088203","-0.28929763"," 0.11384963"," 0.10203705"," 0.06713680"," 0.09589320","-0.13159368","-0.97951458","-0.98859449","-0.97410321","-0.98263608","-0.98379638","-0.98415673","-0.97566149","-0.98051726","-0.96164770","-0.98428597","-0.98551783","-0.98498324","-0.99043274","-0.97898684","-0.98847194","-0.98813225","-0.99513385","-0.99499211","-0.97845530","-0.98531531","-0.99286375","-0.98076137","-0.98966732","-0.99144972","-0.99285199","-0.98063729","-0.98947311","-0.98573517","-0.99167412","-0.98477211","-0.99614135","-0.98934137","-0.97380527","-0.97946175","-0.97408313","-0.98529321","-0.98258266","-0.99025224","-0.98055884","-0.98441650","-0.99597419","-0.98431295","-0.99257598","-0.97590920","-0.99082311","-0.99008527","-0.99211026","-0.99337046","-0.99152691","-0.97383818","-0.98415096","-0.98936924","-0.98734382","-0.98996069","-0.99332166","-0.99425207","-0.99312487","-0.98154408","-0.99668635","-0.98506920","-0.93211117","-0.97660697","-0.98528012","-0.95794960","-0.96906190","-0.93820096","-0.93865658","-0.94541894","-0.94676803","-0.97136030","-0.98675561","-0.95869253","-0.97156815","-0.92229884","-0.97482167","-0.97443704","-0.97524074","-0.98561991","-0.96606525","-0.96441413","-0.95699915","-0.95189251","-0.95833458","-0.96908306","-0.91203364","-0.97167104","-0.98023042","-0.97085174","-0.98472133","-0.98008975"
"tBodyAcc-mad()-Y"," 0.061811080","-0.120172928","-0.087374812","-0.088247911"," 0.021252454"," 0.147044979","-0.136694056"," 0.300305775","-0.212359890","-0.083311275","-0.045970829","-0.157724552"," 0.112369923","-0.063528838"," 0.121720093","-0.349799364","-0.039777430","-0.214911510"," 0.194109824"," 0.477559304"," 0.064817078","-0.035851843","-0.253460783","-0.204010574","-0.182526437","-0.159350021","-0.190116879","-0.131357037","-0.136387113","-0.190116851"," 0.007676899"," 0.113198669","-0.004484346","-0.104576854"," 0.190486205"," 0.144944545","-0.343619951"," 0.318980589","-0.295573616","-0.016628366","-0.101750739","-0.147699841"," 0.092661668"," 0.287753127"," 0.022701513","-0.192195919","-0.041452179","-0.221353709"," 0.178772553"," 0.191699067"," 0.061122830"," 0.251072777","-0.006792108","-0.142132956","-0.242689727","-0.068794579","-0.101821501","-0.198858291","-0.124825964","-0.137696237","-0.107395631"," 0.206997256","-0.047526721","-0.272595864"," 0.013366499"," 0.258880874","-0.201005457"," 0.281074332","-0.241144677","-0.026668451"," 0.011037428"," 0.041507913","-0.080881490"," 0.224977240"," 0.060085585","-0.164172919","-0.069603016","-0.283249172"," 0.489372855"," 0.516136567"," 0.274613065"," 0.211920981"," 0.090049122","-0.172678728","-0.174194306","-0.083537776","-0.129626618"," 0.104435831","-0.202306948","-0.081675237","-0.919658954","-0.951537807","-0.855595641","-0.890895236","-0.904638734","-0.928565312","-0.909281617","-0.923886270","-0.874242537","-0.916248879","-0.922185628","-0.928279664","-0.934768538","-0.917555078","-0.922312882","-0.952671636","-0.960220424","-0.974514840","-0.950994253","-0.938244421","-0.968122008","-0.930377778","-0.934469751","-0.955958874","-0.946747638","-0.938135229","-0.971376815","-0.940890647","-0.962723104","-0.936908131","-0.971758757","-0.957543717","-0.896517874","-0.859936149","-0.871059739","-0.923870550","-0.924302112","-0.938316233","-0.940488956","-0.925313611","-0.964230934","-0.925087651","-0.950518830","-0.930300886","-0.932699485","-0.960426701","-0.967273663","-0.953953925","-0.944558902","-0.880073850","-0.944931071","-0.930511271","-0.959554630","-0.936926156","-0.955761936","-0.950252575","-0.957021506","-0.879612885","-0.969401386","-0.892809844","-0.840910589","-0.980963747","-0.965100052","-0.945799267","-0.971518239","-0.930008477","-0.926829713","-0.932243177","-0.918515102","-0.947498061","-0.974316432","-0.952123606","-0.950125182","-0.910003691","-0.966085775","-0.941570618","-0.943799482","-0.986056020","-0.974942060","-0.964690726","-0.959182927","-0.918505683","-0.975404083","-0.983743215","-0.674405732","-0.983251945","-0.984422160","-0.944973935","-0.989903760","-0.957777099"
